library,profiler,stage,supported,sample_count,mean_duration_ms,std_duration_ms
dstpy,cpu,step1,True,2,2131.6596,63.4939
dstpy,cpu,step2,True,2,562.76185,51.77625
dstpy,cpu,step3,True,2,1632.6156,78.1904
dstpy,cpu,step4,True,2,844.18485,12.64995
dstpy,line,step1,True,2,2925.83105,254.39445
dstpy,line,step2,True,2,1266.6161,37.2286
dstpy,line,step3,True,2,2451.6006,88.4011
dstpy,line,step4,True,2,1518.57835,28.27645
dstpy,memory,step1,True,2,2410.44465,114.38365
dstpy,memory,step2,True,2,825.24615,37.49395
dstpy,memory,step3,True,2,1909.22495,80.15015
dstpy,memory,step4,True,2,1094.12775,27.02375
dstpy,scalene,step1,True,2,0.0,0.0
dstpy,scalene,step2,True,2,0.0,0.0
dstpy,scalene,step3,True,2,0.0,0.0
dstpy,scalene,step4,True,2,0.0,0.0
dstz,cpu,step1,True,2,1390.9274,18.9014
dstz,cpu,step2,True,2,1285.496,404.1324
dstz,cpu,step3,True,2,6510.8418,417.993
dstz,cpu,step4,False,2,1.3818,0.4672
dstz,line,step1,True,2,2287.38255,144.81395
dstz,line,step2,True,2,2017.7552,442.6782
dstz,line,step3,True,2,7389.3873,411.0169
dstz,line,step4,False,2,355.6216,50.8351
dstz,memory,step1,True,2,1676.9524,67.0842
dstz,memory,step2,True,2,1557.49315,416.79195
dstz,memory,step3,True,2,6811.6793,417.0125
dstz,memory,step4,False,2,151.9611,22.3376
dstz,scalene,step1,True,2,0.0,0.0
dstz,scalene,step2,True,2,0.0,0.0
dstz,scalene,step3,True,2,0.0,0.0
dstz,scalene,step4,False,2,0.0,0.0
our,cpu,step1,True,2,1065.4408,127.3017
our,cpu,step2,True,2,307.8206,1.1695
our,cpu,step3,True,2,705.76355,102.29655
our,cpu,step4,True,2,391.78515,43.74355
our,line,step1,True,2,1851.92055,2.43815
our,line,step2,True,2,896.22205,24.15925
our,line,step3,True,2,1521.864,180.9418
our,line,step4,True,2,1112.67505,134.48985
our,memory,step1,True,2,1347.5458,110.44
our,memory,step2,True,2,521.5546,7.178
our,memory,step3,True,2,992.12485,137.95065
our,memory,step4,True,2,666.82825,84.23125
our,scalene,step1,True,2,0.0,0.0
our,scalene,step2,True,2,0.0,0.0
our,scalene,step3,True,2,0.0,0.0
our,scalene,step4,True,2,0.0,0.0
pyds,cpu,step1,True,2,841.5595,36.2553
pyds,cpu,step2,True,2,513.2338,114.1373
pyds,cpu,step3,False,2,1.1718,0.0025
pyds,cpu,step4,False,2,0.89865,0.11895
pyds,line,step1,True,2,1542.3863,210.3771
pyds,line,step2,True,2,1180.1346,142.7945
pyds,line,step3,False,2,332.0567,0.074
pyds,line,step4,False,2,286.2922,0.8694
pyds,memory,step1,True,2,1079.9102,88.0196
pyds,memory,step2,True,2,758.19415,125.98975
pyds,memory,step3,False,2,137.309,0.4035
pyds,memory,step4,False,2,118.2834,0.3786
pyds,scalene,step1,True,2,0.0,0.0
pyds,scalene,step2,True,2,0.0,0.0
pyds,scalene,step3,False,2,0.0,0.0
pyds,scalene,step4,False,2,0.0,0.0
