library,stage,supported,sample_count,mean_peak_mb,max_peak_mb,memory_ratio_vs_reference
dstpy,step1,True,32,0.135665,0.303323,1.047886
dstpy,step2,True,32,0.157645,0.180888,1.178414
dstpy,step3,True,32,0.214906,0.242253,1.07923
dstpy,step4,True,32,0.15453,0.158984,1.109167
dstz,step1,True,32,0.141909,0.310148,1.096112
dstz,step2,True,32,0.187262,0.202105,1.399809
dstz,step3,True,32,0.217057,0.225578,1.090031
dstz,step4,False,32,0.062045,0.064258,
our,step1,True,32,0.129466,0.284062,1.0
our,step2,True,32,0.133777,0.143431,1.0
our,step3,True,32,0.199129,0.208259,1.0
our,step4,True,32,0.139321,0.157134,1.0
pyds,step1,True,32,0.125053,0.276507,0.965917
pyds,step2,True,32,0.154497,0.15931,1.154882
pyds,step3,False,32,0.069919,0.07317,
pyds,step4,False,32,0.061891,0.064038,
