library,stage,supported,sample_count,mean_total_ms,std_total_ms,mean_per_repeat_ms,mean_step_repeat_count,source_profiler,speedup_vs_reference
dstpy,step1,True,32,9346.085587,6547.724587,93.460856,100,cpu,0.493899
dstpy,step2,True,32,4139.268881,1517.250327,41.392689,100,cpu,0.480931
dstpy,step3,True,32,8890.854734,4387.630939,88.908547,100,cpu,0.432495
dstpy,step4,True,32,5202.257572,2156.626861,52.022576,100,cpu,0.451359
dstz,step1,True,32,7096.507759,3080.455491,70.965078,100,cpu,0.650463
dstz,step2,True,32,11204.687575,5330.735501,112.046876,100,cpu,0.177667
dstz,step3,True,32,33488.370156,16747.467878,334.883702,100,cpu,0.114823
dstz,step4,False,32,1.035503,0.166252,0.010355,100,cpu,
our,step1,True,32,4616.018547,2674.077889,46.160185,100,cpu,1.0
our,step2,True,32,1990.701444,1003.421418,19.907014,100,cpu,1.0
our,step3,True,32,3845.250687,1513.989061,38.452507,100,cpu,1.0
our,step4,True,32,2348.085663,1064.972938,23.480857,100,cpu,1.0
pyds,step1,True,32,4089.068797,2321.284788,40.890688,100,cpu,1.128868
pyds,step2,True,32,4454.580503,1469.054682,44.545805,100,cpu,0.446889
pyds,step3,False,32,1.280031,0.159542,0.0128,100,cpu,
pyds,step4,False,32,0.879328,0.079111,0.008793,100,cpu,
